endpoint,params,timestamp,row_count
2000/sf3/tract,state=29; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:27.117841,43560
2000/sf3/tract,state=30; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:27.813816,8910
2000/sf3/tract,state=31; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:28.667004,16599
2000/sf3/tract,state=32; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:29.368584,16071
2000/sf3/tract,state=33; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:30.087569,9009
2000/sf3/tract,state=34; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:31.566933,64350
2000/sf3/tract,state=35; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:32.341794,15048
2000/sf3/tract,state=36; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:35.932451,161931
2000/sf3/tract,state=37; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:37.249327,51579
2000/sf3/tract,state=38; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:37.898596,7491
2000/sf3/tract,state=39; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:40.407218,97053
2000/sf3/tract,state=40; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:41.595163,32670
2000/sf3/tract,state=41; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:42.486702,24915
2000/sf3/tract,state=42; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:45.178592,103455
2000/sf3/tract,state=44; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:45.941158,7722
2000/sf3/tract,state=45; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:47.011536,28611
2000/sf3/tract,state=46; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:47.686246,7755
2000/sf3/tract,state=47; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:48.900097,41613
2000/sf3/tract,state=48; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:51.823028,144804
2000/sf3/tract,state=49; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:52.497233,16368
2000/sf3/tract,state=50; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:53.118915,5907
2000/sf3/tract,state=51; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:54.482518,50853
2000/sf3/tract,state=53; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:55.55008,43494
2000/sf3/tract,state=54; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:56.440667,15378
2000/sf3/tract,state=55; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:57.598439,43989
2000/sf3/tract,state=56; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:58.297664,4191
2010/acs5/state,B19013_001;B17001_002;B17001_001;B15002_003;B15002_004;B15002_005;B15002_006;B15002_007;B15002_008;B15002_009;B15002_010;B15002_011;B15002_020;B15002_021;B15002_022;B15002_023;B15002_024;B15002_025;B15002_026;B15002_027;B15002_028;B15002_001;B23001_008;B23001_015;B23001_022;B23001_029;B23001_036;B23001_043;B23001_050;B23001_057;B23001_064;B23001_071;B23001_094;B23001_101;B23001_108;B23001_115;B23001_122;B23001_129;B23001_136;B23001_143;B23001_150;B23001_157;B23001_007;B23001_014;B23001_021;B23001_028;B23001_035;B23001_042;B23001_049;B23001_056;B23001_063;B23001_070;B23001_093;B23001_100;B23001_107;B23001_114;B23001_121;B23001_128;B23001_135;B23001_142;B23001_149;B23001_156;B25014_005;B25014_006;B25014_007;B25014_011;B25014_012;B25014_013;B25014_001,2026-07-24 14:54:00.648143,3381
2010/acs5/county,B19013_001;B17001_002;B17001_001;B15002_003;B15002_004;B15002_005;B15002_006;B15002_007;B15002_008;B15002_009;B15002_010;B15002_011;B15002_020;B15002_021;B15002_022;B15002_023;B15002_024;B15002_025;B15002_026;B15002_027;B15002_028;B15002_001;B23001_008;B23001_015;B23001_022;B23001_029;B23001_036;B23001_043;B23001_050;B23001_057;B23001_064;B23001_071;B23001_094;B23001_101;B23001_108;B23001_115;B23001_122;B23001_129;B23001_136;B23001_143;B23001_150;B23001_157;B23001_007;B23001_014;B23001_021;B23001_028;B23001_035;B23001_042;B23001_049;B23001_056;B23001_063;B23001_070;B23001_093;B23001_100;B23001_107;B23001_114;B23001_121;B23001_128;B23001_135;B23001_142;B23001_149;B23001_156;B25014_005;B25014_006;B25014_007;B25014_011;B25014_012;B25014_013;B25014_001,2026-07-24 14:54:05.731469,214521
2010/acs5/tract,state=01; vars=B19013_001;B17001_002;B17001_001;B15002_003;B15002_004;B15002_005;B15002_006;B15002_007;B15002_008;B15002_009;B15002_010;B15002_011;B15002_020;B15002_021;B15002_022;B15002_023;B15002_024;B15002_025;B15002_026;B15002_027;B15002_028;B15002_001;B23001_008;B23001_015;B23001_022;B23001_029;B23001_036;B23001_043;B23001_050;B23001_057;B23001_064;B23001_071;B23001_094;B23001_101;B23001_108;B23001_115;B23001_122;B23001_129;B23001_136;B23001_143;B23001_150;B23001_157;B23001_007;B23001_014;B23001_021;B23001_028;B23001_035;B23001_042;B23001_049;B23001_056;B23001_063;B23001_070;B23001_093;B23001_100;B23001_107;B23001_114;B23001_121;B23001_128;B23001_135;B23001_142;B23001_149;B23001_156;B25014_005;B25014_006;B25014_007;B25014_011;B25014_012;B25014_013;B25014_001,2026-07-24 14:54:08.716887,81489
